,Chemical Formula,Composition,Empirical Formula,Environment,IMA Status,Locality,Name Origin,Name Pronunciation,Synonym,Cell Dimensions,Cleavage,Color,Density,Diaphaneity,Fracture,Habit,Hardness,Luster,Fermion Index,Photoelectric,Radioactivity,Dana Class,Strunz Class,References,Mineral name,Streak,Gladstone-Dale,Optical Data
1109, AgPbCu2Bi5S10," Molecular Weight = 1,807.72 gm", AgPbCu2Bi5S10, Found in zoned mesothermal base- and precious-metal veins., Approved IMA 1979," In the USA, from the Alaska mine, Poughkeepsie Gulch, near Ouray, San Juan Co., and at the Missouri mine, Hall's Valley, Park Co., Colorado. Link to MinDat.org Location Data.", To stress a similarity with pavonite.,,," a = 13.45, b = 4.02, c = 33.06, Z = 4; beta = 93.5° V = 1,784.19 Den(Calc)= 6.73", None," Gray, Tin white.",, Opaque,,, 2 - Gypsum, Metallic," Fermion Index = 0.02
Boson Index = 0.98"," PECupropavonite =1,332.82 barns/electron
U=PECupropavonite x rElectron Density=7,562.06 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cupropavonite is Not Radioactive", 03.08.10.06 (03)Sulfides - Sulfosalts," 02.JA.05a 02 - SULFIDES and SULFOSALTS (sulfides, selenides, tellurides; arsenides, antimonides, bismuthides; sulfarsenites, sulf"," NAME( AntBidBlaNic1) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(AntBidBlaNic1)",Cupropavonite, lead gray,,
1110, [Cu6As2S7][Ag9CuS4]," Molecular Weight = 1,918.21 gm", Cu6As2S7Ag9CuS4, Pearceite-polybasite group, Proposed IMA 2007," Sarbai Mine, Turgai region, Kazakhstan Link to MinDat.org Location Data."," Commission on New Minerals, Nomenclature and Classification (CNMNC)",, IMA2007-046," a = 7.3218, c = 11.8877, Z = 1; V = 551.91 Den(Calc)= 5.77",,,, Opaque,,,, Metallic," Fermion Index = 0.0013791253
Boson Index = 0.9986208747"," PECupropearceite = 144.86 barns/electron
U=PECupropearceite x rElectron Density= 756.44 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cupropearceite is Not Radioactive", 03.01.08.03 (03)Sulfides - Sulfosalts," 02.GB.15 02 - SULFIDES and SULFOSALTS (sulfides, selenides, tellurides; arsenides, antimonides, bismuthides; sulfarsenites, sulf",,Cupropearceite,,,
1111, [Cu6Sb2S7][Ag9CuS4]," Molecular Weight = 2,011.86 gm", Cu6Sb2S7Ag9CuS4, Pearceite-polybasite group, Proposed IMA 2008 (Dana # Added)," Premier Mine, Stewart, British Columbia, Canada Link to MinDat.org Location Data.", Named as the Cu-rich analog of polybasite,, IMA2008-004," a = 7.341, c = 11.805, V = 550.94",,,, Opaque,,,, Metallic," Fermion Index = 0.0013149238
Boson Index = 0.9986850762"," PECupropolybasite = 173.34 barns/electron
U=PECupropolybasite x rElectron Density= . barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cupropolybasite is Not Radioactive", 03.01.07.04 (03)Sulfides - Sulfosalts," 02.GB.15 02 - SULFIDES and SULFOSALTS (sulfides, selenides, tellurides; arsenides, antimonides, bismuthides; sulfarsenites, sulf",,Cupropolybasite,,,
1112, CuRh2S4, Molecular Weight = 397.62 gm, CuRh2S4, In alluvial placers., Approved IMA 1985," From undefined localities in the Aldan shield and Kamchatka, Far Eastern Region, USSR. Link to MinDat.org Location Data.", For the chemical composition.,, ICSD 41900," a = 9.88, Z = 8; V = 964.43 Den(Calc)= 5.48", None," Iron black, Black.", 6.74, Opaque,,, 5-5.5 - Apatite-Knife Blade, Metallic," Fermion Index = 0.002419339
Boson Index = 0.997580661"," PECuprorhodsite = 119.15 barns/electron
U=PECuprorhodsite x rElectron Density= 601.03 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cuprorhodsite is Not Radioactive", 02.10.01.16 (02)Sulfides - Including Selenides and Tellurides," 02.DA.05 02 - SULFIDES and SULFOSALTS (sulfides, selenides, tellurides; arsenides, antimonides, bismuthides; sulfarsenites, sulf"," NAME( AntBidBlaNic1) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(AntBidBlaNic1)",Cuprorhodsite,,,
1113, CaCuSi4O10, Molecular Weight = 375.96 gm, CaCuSi4O10," Intimately mixed with quartz (Vesuvius, Italy); in a mudstone xenolith ejected from a scoria cone (Sattelberg volcanic cone, Germany).", Valid Species (Pre-IMA) 1938," Vesuvius, Italy Link to MinDat.org Location Data.", Named for a high copper content and presumed similarity to rivaite.,, ICSD 72612," a = 7.3, c = 15.12, Z = 4; V = 805.74 Den(Calc)= 3.10", {001} Perfect, Blue., 3.08, Transparent, Brittle - Generally displayed by glasses and most non-metallic minerals., Tabular - Form dimensions are thin in one direction., 5 - Apatite, Vitreous (Glassy)," Fermion Index = 0.01
Boson Index = 0.99"," PECuprorivaite = 9.72 barns/electron
U=PECuprorivaite x rElectron Density= 29.45 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cuprorivaite is Not Radioactive", 71.02.03.01 (71)Phyllosilicate Sheets of Six-Membered Rings, 09.EA.05 09 - SILICATES (Germanates)," NAME( AntBidBlaNic2) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Cuprorivaite, light blue," CI meas= 0.009 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= 0.015 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1973,KPDmeas= 0.1985,KC= 0.2003
Ncalc = 1.62"," Uniaxial (-), e=1.59, w=1.633, bire=0.0430."
1114, CaWO4, Molecular Weight = 287.93 gm, Ca(WO4)," A primary tunsten ore mineral commonly found in contact-metamorphic deposits, high-temperature hydrothermal veins, greisens, and granitic pegmatites.", Valid Species (Pre-IMA) 1821," Bispberg iron mine, Säter, Dalarna, Sweden Link to MinDat.org Location Data."," Named after the Swedish chemist, Karl Wilhelm Scheele (1742-1786).", Scheelite + Pronunciation, Calcium Tungstate," a = 5.242, c = 11.372, Z = 4; V = 312.49 Den(Calc)= 6.12", {010} Distinct," Colorless, White, Pale yellow, Brownish yellow, Reddish yellow."," 5.9 - 6.12, Average = 6.01", Transparent to translucent, Uneven - Flat surfaces (not cleavage) fractured in an uneven pattern., Massive - Granular - Common texture observed in granite and other igneous rock., 4-5 - Fluorite-Apatite, Vitreous (Glassy)," Fermion Index = 0.09
Boson Index = 0.91"," PEScheelite = 789.14 barns/electron
U=PEScheelite x rElectron Density=4,150.96 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Scheelite is Not Radioactive", 48.01.02.01 (48)Anhydrous Molybdates and Tungstates," 07.GA.05 07 - SULFATES (SELENATES, TELLURATES)"," NAME( Duda&Rejl90) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Mason68)",Scheelite, white," CI meas= 0.136 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= 0.152 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1515,KPDmeas= 0.1543,KC= 0.1786
Ncalc = 2.05 - 2.09"," Uniaxial (+), w=1.918-1.92, e=1.934-1.937, bire=0.0160-0.0170."
1115, Cu[(UO2)(SiO2OH)]2•6(H2O), Molecular Weight = 861.84 gm, Cu(UO2)2(SiO4)2(H3O)2•2(H2O)," A secondary mineral formed by alteration of earlier uranium minerals, both in situ and after transport of solutions.", Valid Species (Pre-IMA) 1933," Kalongwe deposit, Western area, Shaba Cu belt, Shaba, Zaïre. Link to MinDat.org Location Data."," A name supplied by Buttgenbach while introducing Vaes' paper, in the mistaken belief that it was the copper analog of sklodowskite.", Cuprosklodowskite + Pronunciation, ICSD 4350," a = 7.052, b = 9.267, c = 6.655, Z = 1; alpha = 109.23°, beta = 89.84°, gamma = 110.01° V = 385.85 Den(Calc)= 3.71", {100} Good," Grass green, Green yellow, Light green.", 3.8, Transparent to Translucent, Uneven - Flat surfaces (not cleavage) fractured in an uneven pattern., Radial - Crystals radiate from a center without producing stellar forms (e.g. stibnite), 4 - Fluorite, Vitreous - Silky," Fermion Index = 0.0071650842
Boson Index = 0.9928349158"," PECuprosklodowskite =1,428.72 barns/electron
U=PECuprosklodowskite x relectron=4,774.97 barns/cc.",, 53.03.01.04 (53)Nesosilicate Insular SiO4 Groups and Other Anions of Complex Cations, 09.AK.10 09 - SILICATES (Germanates)," NAME( AntBidBlaNic2) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Cuprosklodowskite, greenish yellow," CI meas= -0.219 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -0.238 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.177,KPDmeas= 0.1742,KC= 0.1429
Ncalc = 1.53 - 1.54"," Biaxial (-), a=1.654-1.655, b=1.664-1.667, g=1.664-1.667, bire=0.0100-0.0120, 2V(Calc)=0, 2V(Meas)=0-5."
1116," (Cu,Mg)Fe+++2O4", Molecular Weight = 228.86 gm, Cu0.8Mg0.1Fe2+0.05Fe3+1.9Al0.1O4," In highly oxidized material, once spontaneously ignited, in an ore dump.", Approved IMA 1973," Consolidated Rambler Mines Limited, near Baie Verte, Newfoundland, Canada. Link to MinDat.org Location Data.", Named for the copper content and the spinel structure.,, ICSD 24872," a = 8.369, Z = 8; V = 586.17 Den(Calc)= 5.19", None, Black.," 5 - 5.2, Average = 5.09", Opaque,," Irregular Grains - Occurs as splotchy, anhedral crystals forming inclusions in other minerals or rocks.", 6.5-7 - Pyrite-Quartz, Metallic," Fermion Index = 0.01
Boson Index = 0.99"," PECuprospinel = 24.54 barns/electron
U=PECuprospinel x rElectron Density= 120.65 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cuprospinel is Not Radioactive", 07.02.02.06 (07)Multiple Oxides," 04.BB.05 04 - OXIDES (Hydroxides, V[5,6] vanadates, arsenites, antimonites, bismuthites, sulfites, selenites, tellurites, iodate"," NAME( AntBidBlaNic3) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(AntBidBlaNic3)",Cuprospinel, black,," NCalc= 2.44 - from Gladstone-Dale relationship (KC = 0.2784) where Ncalc=Dcalc*KC+1
NCalc= 2.42 - from Gladstone-Dale relationship (KC = 0.2784) where Ncalc=Dmeas*KC+1"
1117," Cu2(Sb,Tl)", Molecular Weight = 265.37 gm, Cu2Sb0.8Tl0.2, In a vein in sodalite syenite and in mineralized dolomite., Approved IMA 1969," Mt. Nakalak, near Narssaq, Greenland. Langban and Langsjon, Sweden. Link to MinDat.org Location Data.", Named for the composition.,, ICSD 42323," a = 3.99, c = 6.09, Z = 2; V = 96.95 Den(Calc)= 9.09", {???} Indistinct, Steel gray., 8.42, Opaque, Uneven - Flat surfaces (not cleavage) fractured in an uneven pattern., Aggregates - Made of numerous individual crystals or clusters., 4 - Fluorite, Metallic," Fermion Index = 0
Boson Index = 1"," PECuprostibite = 409.08 barns/electron
U=PECuprostibite x rElectron Density=3,222.96 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cuprostibite is Not Radioactive", 02.04.11.01 (02)Sulfides - Including Selenides and Tellurides," 02.AA.20 02 - SULFIDES and SULFOSALTS (sulfides, selenides, tellurides; arsenides, antimonides, bismuthides; sulfarsenites, sulf"," NAME( Dana8) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(AntBidBlaNic1)",Cuprostibite,,,
1118, Cu++3(WO4)2(OH)2, Molecular Weight = 720.35 gm, Cu3(WO4)2(OH)2, Common mineral in the oxidized zone of scheelite deposits containing primary copper sulfides., Valid Species (Pre-IMA) 1869," La Paz, Baja California Sur, Mexico. Link to MinDat.org Location Data.", Named for its composition.,,," a = 8.93, c = 14.48, Z = 7; V = 1,154.71 Den(Calc)= 7.25",," Brown green, Olive green, Yellowish green.", 7.06,," Brittle - Conchoidal - Very brittle fracture producing small, conchoidal fragments.", Massive - Fibrous - Distinctly fibrous fine-grained forms., 4-5 - Fluorite-Apatite, Vitreous - Waxy," Fermion Index = 0.07
Boson Index = 0.93"," PECuprotungstite = 638.45 barns/electron
U=PECuprotungstite x rElectron Density=3,967.13 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cuprotungstite is Not Radioactive", 48.03.02.01 (48)Anhydrous Molybdates and Tungstates," 07.GB.15 07 - SULFATES (SELENATES, TELLURATES)", NAME( Dana8) PHYS. PROP.(Dana8) OPTIC PROP.(Ford32),Cuprotungstite, green," CI meas= 0.077 (Fair) - where the CI = (1-KPDmeas/KC)
CI calc= 0.101 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1572,KPDmeas= 0.1615,KC= 0.1749
Ncalc = 2.23 - 2.27"," Uniaxial (-), e=2.1, w=2.18, bire=0.0800."
1119," Ba4Al3Ti(PO4)4(O,OH)6"," Molecular Weight = 1,160.06 gm", Ba4Al3Ti(PO4)4(OH)6," Massive barite in phosphatic, black organic cherts and shales is cut by veins of coarse-grained barite, euhedral adularia, and curetonite.", Approved IMA 1979," Barite Mine at Golconda, Nevada, USA. Link to MinDat.org Location Data."," Named for Forrest Cureton, mineralogist, and Michael Cureton, of Tucson, AZ, who found the mineral.",, ICSD 75287," a = 6.957, b = 12.55, c = 5.22, Z = 1; beta = 102.15° V = 445.55 Den(Calc)= 4.32"," {011} Good, {010} Parting"," Bright yellowish green, Nickel green.", 4.31, Translucent, Brittle - Generally displayed by glasses and most non-metallic minerals., Twinning Common - Crystals are usually twinned., 3.5 - Copper Penny, Vitreous (Glassy)," Fermion Index = 0.08
Boson Index = 0.92"," PECuretonite = 210.40 barns/electron
U=PECuretonite x rElectron Density= 823.90 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Curetonite is Not Radioactive"," 41.05.15.01 (41)Anhydrous Phosphates, etc. Containing Hydroxyl or Halogen"," 08.BK.15 08 - PHOSPHATES, ARSENATES, VANADATES", NAME( Dana8) PHYS. PROP.(Dana8) OPTIC PROP.(Dana8),Curetonite, white," CI meas= 0.132 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= 0.134 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1581,KPDmeas= 0.1585,KC= 0.1826
Ncalc = 1.79"," Biaxial (+), a=1.676, b=1.68, g=1.693, bire=0.0170, 2V(Calc)=60, 2V(Meas)=60. Dispersion weak, r < v."
1120, Pb(UO2)2V2O8•5(H2O)," Molecular Weight = 1,067.21 gm", Pb(UO2)2V5+2O8•5(H2O), Oxidized zone of a Pb-bearing U–V deposit., Approved IMA 1968," Mounana uranium mine, Franceville, Gabon. Link to MinDat.org Location Data."," Named for Hubert Curien (1924- ), French mineralogist and crystallographer, Laboratory of Mineralogy and Crystallography, University of Pierre and Marie Curie (Sorbonne), Paris, Fra nce.", Curienite + Pronunciation, ICSD 23515," a = 10.4, b = 8.45, c = 16.34, Z = 4; V = 1,435.96 Den(Calc)= 4.94",, Canary yellow., 4.88,,,, 3 - Calcite, Adamantine - Pearly," Fermion Index = 0.04
Boson Index = 0.96"," PECurienite =1,528.41 barns/electron
U=PECurienite x relectron=6,480.55 barns/cc.",," 40.02a.27.02 (40)Hydrated Phosphates, etc"," 04.HB.15 04 - OXIDES (Hydroxides, V[5,6] vanadates, arsenites, antimonites, bismuthites, sulfites, selenites, tellurites, iodate"," NAME( AntBidBlaNic4) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990)",Curienite, light yellow,," NCalc= 1.82 - from Gladstone-Dale relationship (KC = 0.1651) where Ncalc=Dcalc*KC+1
NCalc= 1.81 - from Gladstone-Dale relationship (KC = 0.1651) where Ncalc=Dmeas*KC+1"
1121," Pb3+x(H2O)2[(UO2)4+x(OH)3-x]2, x~0.5"," Molecular Weight = 3,006.49 gm", Pb3.5(H2O)22(UO2)42(OH)2.5,, Valid Species (Pre-IMA) 1921, Link to MinDat.org Location Data.," Named for Pierre Curie (1859-1906) and Marie Curie-Sklodowska (1867 - 1934), French research team of radioactive minerals. Discoverd the element radium.", Curite, ICSD 100260," a = 12.58, b = 13.03, c = 8.4, Z = 2; V = 1,376.91 Den(Calc)= 7.25"," {100} Good, {110} Good"," Yellow, Reddish orange, Brownish yellow.", 7.19, Transparent to Translucent, Brittle - Generally displayed by glasses and most non-metallic minerals., Massive - Fibrous - Distinctly fibrous fine-grained forms., 4-5 - Fluorite-Apatite, Adamantine," Fermion Index = 0.05
Boson Index = 0.95"," PECurite =2,234.12 barns/electron
U=PECurite x relectron=13102.35 barns/cc.",, 05.09.03.01 (05)Oxides Containing Uranium and Thorium," 04.GB.55 04 - OXIDES (Hydroxides, V[5,6] vanadates, arsenites, antimonites, bismuthites, sulfites, selenites, tellurites, iodate"," NAME( Duda&Rejl90) PHYS. PROP.(AmMin, v 86, p 379) OPTIC PROP.(Ford32)",Curite, orange," CI meas= -0.332 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -0.321 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1526,KPDmeas= 0.1539,KC= 0.1156
Ncalc = 1.83 - 1.84"," Biaxial (-), a=2.06, b=2.11, g=2.15, bire=0.0900, 2V(Calc)=80, 2V(Meas)=70."
1122, C22H14, Molecular Weight = 278.35 gm, C22H14," Mercury mine, mixed with cinnabar and clay.", Valid Species (Pre-IMA) 1832," Idria, Slovenia. Link to MinDat.org Location Data.", Named for the locality., Idrialite + Pronunciation, Curtisite," a = 8.07, b = 6.42, c = 27.75, Z = 4; V = 1,437.71 Den(Calc)= 1.29", {???} Perfect," Greenish yellow, Light brown, Colorless.", 1.236,," Conchoidal - Fractures developed in brittle materials characterized by smoothly curving surfaces, (e.g. quartz).", Tabular - Form dimensions are thin in one direction., 1.5 - Between Talc and Gypsum, Vitreous - Adamantine," Fermion Index = 0.01
Boson Index = 0.99"," PEIdrialite = 0.14 barns/electron
U=PEIdrialite x rElectron Density= 0.19 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Idrialite is Not Radioactive", 50.03.08.01 (50)Salts of Organic Acids, 10.BA.20 10 - ORGANIC COMPOUNDS," NAME( Dana8) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990)",Idrialite,,,
1123," Ca4Si2O7(F,OH)2", Molecular Weight = 365.48 gm, Ca4Si2O7F1.5(OH)0.5," Ejected masses from Mte. Somma, Vesuvius.", Valid Species (Pre-IMA) 1876," At Monte Somma and Vesuvius, Campania, and in the Alban Hills, as at Ariccia, Lazio, Italy. Link to MinDat.org Location Data."," From the Greek cuspis, for a spear, the characteristic shape of the twinned crystals.",, Custerite," a = 10.93, b = 10.57, c = 7.57, Z = 4; beta = 110.1° V = 821.30 Den(Calc)= 2.96"," {001} Good, {110} Imperfect"," Colorless, Green, White, Light pink."," 2.8 - 2.9, Average = 2.84", Transparent, Brittle - Generally displayed by glasses and most non-metallic minerals., Massive - Granular - Common texture observed in granite and other igneous rock., 5-6 - Between Apatite and Orthoclase, Vitreous (Glassy)," Fermion Index = 0.0079273277
Boson Index = 0.9920726723"," PECuspidine = 6.02 barns/electron
U=PECuspidine x rElectron Density= 17.74 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cuspidine is Not Radioactive"," 56.02.04.03 (56)Sorosilicate Si2O7 Groups and O, OH, F. and H2O", 09.BE.17 09 - SILICATES (Germanates)," NAME( Ford32) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Heinrich65)",Cuspidine, white," CI meas= -0.019 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= 0.019 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2012,KPDmeas= 0.2089,KC= 0.2051
Ncalc = 1.57 - 1.61"," Biaxial (+), a=1.586-1.592, b=1.595-1.596, g=1.598-1.606, bire=0.0120-0.0140, 2V(Calc)=58-66, 2V(Meas)=63. Dispersion r > v distinct."
1124, Fe+++2Te++++++O6•3(H2O), Molecular Weight = 389.34 gm, Fe3+2TeO6•3(H2O),, Approved IMA 1982," Moctezuma mine, Moctezuma, Sonora, Mexico. Link to MinDat.org Location Data."," Named from the Nahuatl for ""something yellow"", in allusion to its color.",,," a = 5.045, c = 14.63, Z = 2; V = 322.48 Den(Calc)= 4.01", {???} Good," Brown, Brownish yellow, Yellow.", 3.9,,, Stalactitic - Shaped like pendant columns as stalactites or stalagmites (e.g. calcite)., 3 - Calcite, Adamantine," Fermion Index = 0.03
Boson Index = 0.97"," PECuzticite = 116.56 barns/electron
U=PECuzticite x rElectron Density= 437.00 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cuzticite is Not Radioactive", 33.02.03.01 (33)Selenates and Tellurates," 04.FM.35 04 - OXIDES (Hydroxides, V[5,6] vanadates, arsenites, antimonites, bismuthites, sulfites, selenites, tellurites, iodate"," NAME( Dana8) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Cuzticite,," CI meas= -0.045 (Good) - where the CI = (1-KPDmeas/KC)
CI calc= -0.017 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2631,KPDmeas= 0.2705,KC= 0.2588
Ncalc = 2.01 - 2.04"," Uniaxial (-), e=2.05, w=2.06, bire=0.0100."
1125, K2Cu(SO4)2•6(H2O), Molecular Weight = 441.96 gm, K2Cu(SO4)2•6(H2O), Product of fumarolic action., Valid Species (Pre-IMA) 1855," Vesuvius, Campania, Italy. Link to MinDat.org Location Data."," Named from the Greek for blue and color, in reference to its appearance in white light.",, ICSD 2925," a = 9.09, b = 12.14, c = 6.18, Z = 2; beta = 105.5° V = 657.18 Den(Calc)= 2.23", {201} Perfect, Green blue., 2.224, Transparent,,, 2-2.5 - Gypsum-Finger Nail, Vitreous (Glassy)," Fermion Index = 0.0013569143
Boson Index = 0.9986430857"," PECyanochroite = 8.69 barns/electron
U=PECyanochroite x relectron= 19.55 barns/cc.","
GRapi = 257.62 (Gamma Ray American Petroleum Institute Units)
Concentration of Cyanochroite per GRapi unit = 0.39 (%)
Estimated Radioactivity from Cyanochroite - barely detectable", 29.03.06.02 (29)Hydrated Acid and Sulfates," 07.CC.60 07 - SULFATES (SELENATES, TELLURATES)"," NAME( AntBidBlaNic5) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Cyanochroite, white," CI meas= -0.004 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= -0.002 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.22,KPDmeas= 0.2206,KC= 0.2197
Ncalc = 1.49"," Biaxial (+), a=1.4836, b=1.4864, g=1.502, bire=0.0184, 2V(Calc)=48, 2V(Meas)=46.533."
